Sintomas,Laudo técnico,Possível Diagnóstico
"Dor abdominal, Sensação de plenitude abdominal, Icterícia","Lesão anecoica, de contornos regulares, com reforço acústico posterior.Parênquima hepático com ecotextura homogênea e sem outras alterações.",Cistos hepáticos
"Icterícia, Prurido, Urina escura e fezes claras, Dor abdominal, Perda de peso e fadiga, Febre intermitente.","Visualiza-se dilatação significativa dos ductos biliares intra-hepáticos, com ducto hepático comum medindo até X mm em diâmetro. Na região hilar, observa-se lesão hipoecogênica de contornos irregulares, medindo aproximadamente Y cm, causando obstrução do fluxo biliar. O colédoco distal não é visualizado de forma adequada, sugerindo possível obstrução completa. A vesícula biliar está moderadamente distendida, com parede de espessura normal. Não foram identificadas coleções líquidas livres ou sinais de perfuração.",Tumores das vias biliares. 
"Dor abdominal intensa, Sensação de plenitude abdominal, Tontura ou síncope, Palidez, sudorese, taquicardia e hipotensão, Rigidez abdominal. ","Baço com contornos irregulares, apresentando área hipoecogênica heterogênea no polo inferior, medindo aproximadamente X cm, sugestiva de hematoma intraparenquimatoso. Identifica-se líquido anecoico em moderada quantidade na região periesplênica, estendendo-se para o espaço hepatorrenal e a cavidade peritoneal.",Ruptura esplênica
"Dor abdominal ou lombar, Sensação de massa abdominal, Perda de peso inexplicada, Distensão abdominal, Edema de membros inferiores, ","dentificada massa heterogênea no espaço retroperitoneal esquerdo, medindo aproximadamente X cm em seus maiores diâmetros, com margens irregulares e ecotextura predominantemente sólida. A lesão comprime estruturas adjacentes, incluindo o polo inferior do rim esquerdo, sem sinais evidentes de invasão parenquimal. Fluxo vascular interno identificado ao Doppler colorido, com padrão irregular. Pequena quantidade de líquido anecoico na cavidade peritoneal inferior.",Tumores retroperitoneais 
"Distensão abdominal, Dor abdominal ou sensação de peso, Dificuldade para respirar , Edema periférico, Febre. ","dentificada presença de líquido livre na cavidade peritoneal, com distribuição difusa na região hepatorrenal, fundo de saco de Morrison e na pelve, com volume moderado. O líquido é anecoico, sem sinais de complexidade (ecogenicidade interna ou septações). Não foram observadas alças intestinais dilatadas ou espessadas. Não há sinais de coleções líquidas complexas.",Ascite
"Dor abdominal, Febre, Distensão abdominal, Náuseas e vômitos, perda de apetite, Sensação de cansaço e indisposição , Constipação ou diarreia. ","Identificada coleção líquida de aproximadamente X cm, com margens irregulares e espessamento da parede, no quadrante inferior direito do abdome, sugerindo abscesso. O conteúdo da coleção apresenta áreas hipoecogênicas e ecotextura heterogênea, compatível com material purulento. Não há sinais de gás dentro da coleção, e não foram observadas coleções adjacentes ou sinais de perfuração visceral. Pequena quantidade de líquido livre na cavidade peritoneal superior.",Abscesso abdominal
"Dor nos linfonodos, Febre, Suores noturnos, Perda de peso inexplicada, aumento visível ou palpável dos linfonodos.","Identificados linfonodos aumentados na região abdominal, com maior diâmetro de X cm, em localizações retroperitoneais (ou outras regiões conforme o caso). Os linfonodos são hipoecogênicos, com margens irregulares e hilus preservado. Alguns linfonodos apresentam características de necrose central, evidenciando áreas anecoicas (sem ecos) ou com baixa ecogenicidade. Observa-se também a presença de septações internas em linfonodos de maior tamanho.",Linfadenopatias abdominais
"Protuberância ou massa visível, Dor ou desconforto, Sensação de peso ou pressão no abdômen, Náuseas e vômitos, Alterações no trânsito intestinal. ","Identificada hérnia no quadrante inferior direito do abdômen, com conteúdo de gordura abdominal que se projeta para fora da cavidade peritoneal. A hérnia mede aproximadamente X cm de diâmetro, com margens bem definidas e compressíveis à aplicação de pressão com o transdutor. Não há sinais de encarceramento ou estrangulamento do conteúdo herniário.",Hérnias abdominais
"Febre, Suores noturnos, Perda de peso inexplicada, Fadiga excessiva , Anemia, Dor abdominal ou desconforto , Distensão abdominal, Sensação de plenitude abdominal, Náuseas e vômitos, Constipação ou diarreia, Perda de apetite, Aumento do baço, ","Presença de linfadenopatia abdominal difusa com aumento dos linfonodos mesentéricos, com características sugerindo infiltração linfomatosa, Infiltração de órgãos adjacentes, incluindo baço e fígado, com aumento de volume desses órgãos.",Linfoma Abdominal
"Dor abdominal, Distensão abdominal , Náuseas e vômitos, Febre, Tosse persistente, Dificuldade para respirar ou falta de ar, Dor torácica, Hemoptise, ","Identificação de uma massa única ou múltipla em um órgão, com características de cisto. O cisto geralmente aparece como uma estrutura bem delimitada, anecoica (escura), com paredes finas e regulares, Imagens em camada ou múltiplas camadas no interior do cisto (formando a típica “imagem em casca de cebola” ou ""imagem de múltiplas bolhas""), que são características do cisto hidático, devido à presença de várias camadas da parede do cisto. ",Cisto Hidático
"Distensão abdominal, Vômitos, Sangue nas fezes, Letargia e apatia, Dificuldade respiratória, Hipotensão , Febre ou hipotermia, Irritabilidade, Sangue nas fezes. ","Distensão das alças intestinais com espessamento da parede intestinal de até 8 mm em algumas regiões, especialmente na porção distal do intestino delgado,  Presença de pneumatosis intestinal com bolhas de ar visíveis na parede de alças intestinais, caracterizando o sinal de duplo arco (double arc sign), Variação de ecogenicidade no conteúdo intestinal, com áreas de hiperecogenicidade sugerindo a presença de gás ou detritos, Aumento da ecogenicidade nos vasos mesentéricos, indicativo de alteração na perfusão intestinal.",Enterocolite necrosante
"Dor abdominal intensa, Distensão abdominal, Vômitos,Constipação ou ausência de evacuações, Febre. ","Ultrassonografia abdominal evidenciando presença de alças intestinais dilatadas, com sinais de distensão e ausência de motilidade. Observado padrão em espiral sugestivo de volvo no segmento distal do cólon sigmoide. Ausência de fluxo sanguíneo mesentérico na área afetada, sugerindo isquemia. Não há evidências de perfuração ou líquido livre na cavidade abdominal.",Volvo intestinal. 
"Vômitos em jato, Perda de peso, Desidratação, Irritação e fome constante, Distensão abdominal leve, Dor abdominal, Vômitos, Distensão abdominal, Perda de apetite e emagrecimento, Eructação e flatulência. ","Ultrassonografia abdominal evidenciando espessamento significativo da musculatura do piloro, com espessura de aproximadamente 6 mm, sugerindo estenose pilórica. Observada dilatação do estômago com acúmulo de conteúdo gástrico, indicando obstrução parcial. Não foram observados sinais de perfuração ou líquido livre. O diagnóstico é compatível com estenose pilórica, com comprometimento do trânsito gástrico. ",Estenose do piloro
"Distensão abdominal, Vômitos, Cólicas e dor abdominal, Letargia, Fezes anormais","alças intestinais dilatadas, com aumento do calibre de aproximadamente 4 cm. Observa-se conteúdo hiperecogênico dentro das alças, sugestivo de mecônio retido. Não há sinais de perfuração ou líquido livre na cavidade abdominal. A motilidade intestinal está reduzida, com ausência de peristaltismo nas alças mais distais", Íleo meconial 
"Dor abdominal intermitente , Vômitos, Fezes com sangue ou muco, Distensão abdominal, Fezes com sangue ou muco, Distensão abdominal. ","Observa-se padrão em anel concêntrico, com invaginação de alças intestinais no quadrante inferior direito do abdômen. As alças invaginadas apresentam dilatação significativa, com acúmulo de líquido e gás. Não há sinais de perfuração, mas há ausência de peristaltismo nas alças afetadas. O fluxo sanguíneo mesentérico está comprometido na área envolvida",Intussuscepção Intestinal
"Hematuria, Dificuldade para urinar, Dor na região pélvica, Micção frequente, Incontinência urinária. ","presença de uma massa sólida ou espessamento irregular da parede da bexiga, que sugere a possibilidade de um tumor, área hipoecogênica (diferente do padrão normal da bexiga, que é anecoica – sem ecos) ou com um padrão heterogêneo, indicando uma massa sólida ou semi-sólida. ",Tumor de bexiga
"Dor abdominal ou sensação de plenitude no quadrante superior direito do abdômen, Náuseas ou desconforto abdominal leve, Icterícia , Perda de peso inexplicada, ","Identificada uma lesão hiperecoica, bem delimitada, no segmento [X] do fígado, com dimensões de [X cm]. A lesão é caracteristicamente sem sombra acústica posterior. ",hemangioma hepático
"Disúria (dor ou ardência ao urinar), Urgência urinária (necessidade urgente e frequente de urinar), Hesitação urinária (dificuldade em iniciar a micção), Jato urinário fraco ou interrompido, Infecções urinárias recorrentes (cistites), Dificuldade em esvaziar a bexiga completamente, Dor suprapúbica (dor na parte inferior do abdômen, acima da região pubiana), Hematúria (presença de sangue na urina) em casos raros, se houver trauma ou inflamação no divertículo, Incontinência urinária (em casos de complicações como infecção ou obstrução)."," ultrassom pode revelar saculações ou áreas de dilatação na parede da bexiga, que são os divertículos. Essas áreas terão contornos bem definidos, sendo visíveis como espessamentos ou bolsas na parede da bexiga,  tamanho dos divertículos pode variar de poucos milímetros a vários centímetros. Eles podem ser solitários ou múltiplos e frequentemente se localizam nas regiões posteriores ou laterais da bexiga, A parede da bexiga pode parecer mais espessa ao redor do divertículo, especialmente se houver inflamação ou se o divertículo estiver associado a complicações, como infecção ou retenção urinária. ",Diverticulos vesicais
"umento do volume abdominal, Hipertensão, Insuficiência renal progressiva, Icterícia , Edema, Dor abdominal. ","s rins estão significativamente aumentados de tamanho, com múltiplos cistos renais de diferentes tamanhos, distribuídos de forma bilateral. Os cistos são hipoecoicos, com bordas bem definidas e não comunicantes, distorcendo o contorno dos rins, A ecogenicidade renal está aumentada, com aspecto heterogêneo, sugerindo a presença de cistos e possível envolvimento das estruturas renais. ", Peliquistose Renal Recessiva
"Diarreia crônica , Dor abdominal, Perda de peso, Esteatorreia, Distensão abdominal, Náuseas e vômitos, Fadiga extrema e fraqueza, Febre e suores noturnos, Artralgia (dor nas articulações) ou artrite, geralmente nas grandes articulações, como joelhos e cotovelos, Linfadenopatia ","Hepatomegalia difusa, com ecogenicidade aumentada, sugestiva de possível inflamação crônica ou envolvimento infeccioso. Não há sinais de ascite ou de alteração no parênquima hepático, como cistos ou tumores, Esplenomegalia moderada, Linfonodos mesentéricos aumentados, compatíveis com linfadenopatia abdominal, Espessamento discreto das paredes intestinais no segmento proximal do intestino delgado, compatível com inflamação crônica ou mau funcionamento da absorção intestinal.",Doença de Wipple. 
"fadiga, ganham peso, sofrem de constipação, apresentam cãibras musculares e não conseguem tolerar o frio.  Algumas pessoas apresentam síndrome do túnel do carpo, que causa formigamento ou dor nas mãos. A frequência cardíaca pode diminuir, a cor das palmas das mãos e plantas dos pés pode ficar ligeiramente alaranjada (carotenemia) e ocorre uma perda lenta dos pelos no final das sobrancelhas. Algumas pessoas, sobretudo adultos mais velhos, podem dar a impressão de estarem confusas ou esquecidas. alterações na menstruação. Inicialmente, pode transcorrer de forma assintomática, evoluindo gradualmente para um quadro característico de hipotireoidismo","aumento da glândula com bordas arredondadas, textura heterogênea e aspecto hipoecogênico. O aumento difuso da tireoide pode ser notado também pelo espessamento do istmo, normalmente uma estrutura fina que tem menos de 6 mm na dimensão anteroposterior. Neste estágio, a análise por mapeamento Doppler revela uma hipervascularização do tecido",Tireoidite crônica autoimune (ou de Hashimoto)
"dor abdominal inespecífica que se inicia no epi ou no mesogástrio,náuseas e anorexia, a dor se localiza na Flanco Inferior Direito","Uma estrutura em fundo cego, imóvel, não compressível, com conteúdo anecoico na sua luz, mucosa ecogênica e parede muscular espessada e hipoecoica, com diâmetro de 6 mm ou mais, adjacente ao ceco.",Apendicite Aguda
"A dor referida como contínua, no quadrante superior direito ou no epigástrio,geralmente persiste por mais de seis horas,  Náuseas, vômitos e anorexia, febre baixa a moderada","Espessamento da parede da vesícula biliar, com espessura acima de 3,0 mm, Líquido livre perivesicular, Vesícula biliar hidrópica, maior que 4,0 cm no eixo transverso, Cálculo impactado no infundíbulo.",Colecistite aguda
"Dor abdominal, Perda de peso, Icterícia , Náuseas e vômitos, Fadiga e fraqueza","O pâncreas pode apresentar uma ecogenicidade alterada, geralmente mais aumentada (híper-ecogênica), sugerindo a presença de fibrose ou inflamação, aumentado de tamanho, frequentemente de forma difusa, mas pode ocorrer também de maneira segmentar, não costuma apresentar cálculos nos ductos biliares ou no pâncreas.",Pancreatite autoimune (PA I)
"Dor abdominal, Perda de peso, Diarreia e fezes gordurosas, Náuseas e vômitos, Fadiga","aumento localizado ou difuso do volume pancreático, o ducto pancreático principal (DPP) pode se apresentar de forma irregular e dilatado ou, ainda, coleções císticas adjacentes à glândula podem ser detectadas, O pâncreas pode aparecer hiperecogênico, presença de  calcificações pancreáticas.",Pancreatite crônica (PC)
"náuseas, sensação de plenitude após as refeições, dificuldade de digestão, Dor abdominal, Perda de peso e fraqueza, Vômitos e náuseas","ducto pancreático principal dilatado, ecogenicidade aumentada (hiperecogênico),  presença de edema ou alterações no sulco pancreatoduodenal, com possível aumento da espessura da parede ou líquido na área adjacente, que são indicativos de inflamação.",Groove pancreatitis ou pancreatite do sulco pancreatoduodenal (GP)
"Dor abdominal, Náuseas e vômitos, Perda de peso, Icterícia, dificuldades na digestão de gorduras, levando à diarreia e fezes gordurosas (esteatorreia),","O ultrassom geralmente identifica uma lesão cística (cheia de fluido) dentro do pâncreas. A imagem aparecerá como uma área anecoica (sem ecos), com contornos bem definidos,paredes mais espessas ou irregulares. ",Cisto Mucinoso Pancreático
"diarreia ou fezes gordurosas (esteatorreia), Dor abdominal, Icterícia, Perda de peso, Fadiga, ","lesão cística no pâncreas, com características heterogêneas. A lesão pode ser de tamanho variável e ter uma aparência mista, com áreas anecoicas (sem ecos) e áreas mais ecogênicas (com ecos), devido à presença de muco ou células tumorais, paredes espessas e irregulares. ",Cistoadenocarcinoma
"Perda de peso inexplicada, Diarreia e fezes gordurosas, Dor abdominal, Icterícia, Náuseas e vômitos","ilatação dos ductos pancreáticos, principalmente do ducto principal, lesão cística no pâncreas, com áreas anecoicas (sem ecos), paredes espessas. ",Neoplasia intradutal mucinosa papilífera
"Dor pélvica, Dor abdominal, Distensão abdominal, Alterações menstruais,  náuseas ou sensação de estufamento"," cisto com várias cavidades (se for multilocular) com fluido  anecoico , paredes finas, sem sinais de vascularização aumentada.",Cistoadenoma seroso
"Dor abdominal ou pélvica, Sangramentos ou irregularidade menstrual, Náuseas e perda de apetite, ","Exame ultrassonográfico revela lesão ovariana sólida-cística com conteúdo misto, apresentando áreas anecoicas (císticas) e áreas hiperecogênicas (sólidas). Há septos finos e algumas áreas com aparência de vegetações. Vascularização presente nas áreas sólidas.",Neoplasia epitelial sólido-cística pseudopapilar(tumor de Frantz)
"Dor abdominal, Icterícia, Fezes claras e urina escura, Diabetes de início recente, Fadiga e cansaço, ","Presença de massa sólida hipoecogênica na região do pâncreas, com contornos irregulares e infiltrativos, medindo aproximadamente x cm. Dilatação do ducto pancreático principal (ducto de Wirsung) e do ducto biliar comum, com sinais de icterícia obstrutiva. Presença de linfonodos aumentados na região porta hepática.",Adenocarcinoma dutal do pâncreas (ADP)
"Suores excessivos, Tremores, Confusão mental, Palpitações, Cansaço excessivo e fraqueza, Tonturas ou desmaios, Visão turva ou embaçada","Presença de uma pequena massa hiperecogênica no pâncreas, com aproximadamente x cm de diâmetro. Não há dilatação dos ductos pancreáticos ou sinais de metástases.",Insulinoma
"Úlceras pépticas, Dor abdominal, Diarreia, Perda de peso inexplicada, Refluxo gastroesofágico, Náuseas e vômitos","Presença de uma  massa hipoecóica de aproximadamente  x cm  localizada no  pâncreas, com contornos irregulares. Não há sinais de metástases visíveis.",Gastrinoma
"Dor abdominal, Perda de peso inexplicada, Icterícia, Fadiga, Náuseas e vômitos, Febre e suores noturnos","Exame ultrassonográfico revela uma massa hipoecogênica difusa no  pâncreas, com aproximadamente x cm de diâmetro, sem sinais de dilatação dos ductos pancreáticos. Linfonodos aumentados ao redor da região porta hepática e mesentérica.",Linfoma pancreático
"Icterícia , Prurido, Fezes de coloração clara, Febre, Fadiga e mal-estar geral, Perda de peso inexplicada","Exame ultrassonográfico revela dilatação dos ductos biliares intra-hepáticos e extra-hepáticos, com espessamento da parede do ducto hepático comum. Massa hipoecogênica de aproximadamente x cm identificada no ducto biliar. Ascite leve e hepatomegalia observada",Colangiocarcinoma
"Icterícia,Dor abdominal, .Prurido, Perda de peso, Náuseas e vômitos","Exame ultrassonográfico do abdômen revela uma massa hipoecogênica, de aproximadamente x cm, localizada na região do ducto biliar comum. Não há sinais de dilatação biliar significativa distal à lesão. Não há envolvimento hepático ou linfonodomegalia evidentes.",Papilomas
"Hipertensão, ganho de peso, rosto arredondado (facies lunar), estrias roxas e fraqueza muscular, taquicardia, suores excessivos, tremores","Exame ultrassonográfico revela a presença de uma massa hipoecogênica, de x cm, localizada na glândula adrenal, sem sinais de invasão das estruturas adjacentes. Não há evidência de linfonodomegalia ou alterações nos rins",Adenoma Adrenal 
"Dor abdominal, Distensão abdomina, Vômitos, Constipação ou ausência de evacuação, Perda de apetite, Febre, Sinais de sepse","imagem hiperecoica, com sombra acústica posterior, na região do íleo distal, compatível com cálculo biliar impactado. Dilatação das alças intestinais proximais, com sinais de estase de conteúdo. Ausência de peristaltismo nas alças distais. Não há líquido livre na cavidade abdominal",Íleo Biliar
"Dor abdominal no quadrante superior direito, Náuseas e vômitos, Febre, Icterícia, Distensão abdominal","Vesícula biliar de tamanho aumentado com espessamento difuso de sua parede, Ausência de imagens hiperecoicas compatíveis com cálculos, Presença de líquido perivesicular, Não há sinais de dilatação do sistema biliar intra-hepático",colelitíase aguda alitiásica 
"Dor abdominal intensa, Náuseas e vômitos, Febre, Icterícia, Perda de peso e mal-estar, ","pâncreas aumentado de volume, com ecotextura heterogênea, evidenciando áreas de baixa ecogenicidade, sugestivas de edema pancreático. Presença de líquido peripancreático, com espessamento da gordura peripancreática. Não há evidência de cálculos biliares ou dilatação significativa dos ductos biliares. Ausência de abscessos visíveis ou pseudocisto",pancreatite tropical
"Dor abdominal intensa e súbita,Distensão abdominal, Choque hipovolêmico, Palidez e sensação de fraqueza, Respiração acelerada","Presença de líquido livre na cavidade abdominal,sugestivo de  sangue, coleção anecoica (sem eco) ou com características heterogêneas",abdome agudo hemorrágico
"Dor abdominal súbita e intensa, Distensão abdominal, Fezes com sangue ou diarreia sanguinolenta, Febre, Mal-estar e sinais de insuficiência orgânica","Presença de líquido livre na cavidade abdominal, com áreas de maior intensidade ecogênica em região peritoneal. Artéria mesentérica superior com fluxo reduzido e áreas de fluxo turbulento, sugerindo trombose mesentérica. Segmentos intestinais dilatados, com espessamento da parede, compatíveis com isquemia intestinal. Não há evidência de aneurisma de aorta abdominal. Ausência de sinais de apendicite ou colelitíase",abdome agudo hemorrágico
"Dor abdominal,Sensação de plenitude ou distensão abdominal, Sangramento gastrointestinal, Anemia, Perda de apetite e perda de peso, Obstrução intestinal","Massa de contornos irregulares e ecogenicidade heterogênea localizada na região gástrica, medindo aproximadamente x cm. A massa apresenta áreas de baixa ecogenicidade, sugerindo necrose central, e áreas periféricas com aumento de vascularização à avaliação Doppler. Não há evidência de ascite ou linfadenopatia regional. O estômago está deslocado devido à massa, mas não há sinais de obstrução evidente. Não há sinais de perfuração ou fluidos livres significativos",Tumores Estromais Gastrintestinais
"Rubor facial, Diarreia persistente, Asma ou dificuldade respiratória , Edema, Perda de peso inexplicada, Sangramento gastrointestinal, Alterações no hábito intestinal","Presença de massa hipoecóica localizada no intestino delgado, medindo aproximadamente x cm. A massa apresenta bordas irregulares e espessamento da parede intestinal. Não há sinais de distensão significativa das alças intestinais proximais. A avaliação Doppler demonstra aumento da vascularização na área da massa. Não há sinais de ascite ou metástases hepáticas evidentes. Não foram observadas outras alterações significativas na cavidade abdominal",tumores carcinoides do intestino delgado